"CAna_001.PV";"407011 L"
"CAna_029.Tune_LVL2";"415001"
"CAna_029.Tune_LVL3";"415000"
"CAna_029.Tune_LVL4";"414999"
"CAna_029.Tune_MANUAL";"414994"
"CAna_029.Tune_MAXDEV";"415006"
"CAna_029.Tune_TCRHL";"414996"
"CAna_029.Tune_TCRLL";"414997"
"CAna_029.Tune_UTRL";"415004"
"CAna_029.Tune_ZERO";"414995"
"CAna_030.PV";"407040"
"CAna_030.Status";"406040"
"CAna_030.Tune_CtrlWd";"415007"
"CAna_030.Tune_DTRL";"415019"
"CAna_030.Tune_FLTR";"415012"
"CAna_030.Tune_HYS";"415017"
"CAna_030.Tune_LVL1";"415016"
"CAna_030.Tune_LVL2";"415015"
"CAna_030.Tune_LVL3";"415014"
"CAna_030.Tune_LVL4";"415013"
"CAna_030.Tune_MANUAL";"415008"
"CAna_030.Tune_MAXDEV";"415020"
"CAna_030.Tune_TCRHL";"415010"
"CAna_030.Tune_TCRLL";"415011"
"CAna_030.Tune_UTRL";"415018"
"CAna_030.Tune_ZERO";"415009"
"CAna_031.PV";"407041"
"CAna_031.Status";"406041"
"CAna_031.Tune_CtrlWd";"415021"
"CAna_031.Tune_DTRL";"415033"
"CAna_031.Tune_FLTR";"415026"
"CAna_031.Tune_HYS";"415031"
"CAna_031.Tune_LVL1";"415030"
"CAna_031.Tune_LVL2";"415029"
"CAna_031.Tune_LVL3";"415028"
"CAna_031.Tune_LVL4";"415027"
"CAna_031.Tune_MANUAL";"415022"
"CAna_031.Tune_MAXDEV";"415034"
"CAna_031.Tune_TCRHL";"415024"
"CAna_031.Tune_TCRLL";"415025"
"CAna_031.Tune_UTRL";"415032"
"CAna_031.Tune_ZERO";"415023"
"CAna_032.PV";"407042"
"CAna_032.Status";"406042"
"CAna_032.Tune_CtrlWd";"415035"
"CAna_032.Tune_DTRL";"415047"
"CAna_032.Tune_FLTR";"415040"
"CAna_032.Tune_HYS";"415045"
"CAna_032.Tune_LVL1";"415044"
"CAna_032.Tune_LVL2";"415043"
"CAna_032.Tune_LVL3";"415042"
"CAna_032.Tune_LVL4";"415041"
"CAna_032.Tune_MANUAL";"415036"
"CAna_032.Tune_MAXDEV";"415048"
"CAna_032.Tune_TCRHL";"415038"
"CAna_032.Tune_TCRLL";"415039"
"CAna_032.Tune_UTRL";"415046"
"CAna_032.Tune_ZERO";"415037"
"CAna_033.PV";"407043"
"CAna_033.Status";"406043"
"CAna_033.Tune_CtrlWd";"415049"
"CAna_033.Tune_DTRL";"415061"
"CAna_033.Tune_FLTR";"415054"
"CAna_033.Tune_HYS";"415059"
"CAna_033.Tune_LVL1";"415058"
"CAna_033.Tune_LVL2";"415057"
"CAna_033.Tune_LVL3";"415056"
"CAna_033.Tune_LVL4";"415055"
"CAna_033.Tune_MANUAL";"415050"
"CAna_033.Tune_MAXDEV";"415062"
"CAna_033.Tune_TCRHL";"415052"
"CAna_033.Tune_TCRLL";"415053"
"CAna_033.Tune_UTRL";"415060"
"CAna_033.Tune_ZERO";"415051"
"CAna_034.PV";"407044"
"CAna_034.Status";"406044"
"CAna_034.Tune_CtrlWd";"415063"
"CAna_034.Tune_DTRL";"415075"
"CAna_034.Tune_FLTR";"415068"
"CAna_034.Tune_HYS";"415073"
"CAna_034.Tune_LVL1";"415072"
"CAna_034.Tune_LVL2";"415071"
"CAna_034.Tune_LVL3";"415070"
"CAna_034.Tune_LVL4";"415069"
"CAna_034.Tune_MANUAL";"415064"
"CAna_034.Tune_MAXDEV";"415076"
"CAna_034.Tune_TCRHL";"415066"
"CAna_034.Tune_TCRLL";"415067"
"CAna_034.Tune_UTRL";"415074"
"CAna_034.Tune_ZERO";"415065"
"CAna_035.PV";"407045"
"CAna_035.Status";"406045"
"CAna_035.Tune_CtrlWd";"415077"
"CAna_035.Tune_DTRL";"415089"
"CAna_035.Tune_FLTR";"415082"
"CAna_035.Tune_HYS";"415087"
"CAna_035.Tune_LVL1";"415086"
"CAna_035.Tune_LVL2";"415085"
"CAna_035.Tune_LVL3";"415084"
"CAna_035.Tune_LVL4";"415083"
"CAna_035.Tune_MANUAL";"415078"
"CAna_035.Tune_MAXDEV";"415090"
"CAna_035.Tune_TCRHL";"415080"
"CAna_035.Tune_TCRLL";"415081"
"CAna_035.Tune_UTRL";"415088"
"CAna_035.Tune_ZERO";"415079"
"CAna_036.PV";"407046"
"CAna_036.Status";"406046"
"CAna_036.Tune_CtrlWd";"415091"
"CAna_036.Tune_DTRL";"415103"
"CAna_036.Tune_FLTR";"415096"
"CAna_036.Tune_HYS";"415101"
"CAna_036.Tune_LVL1";"415100"
"CAna_036.Tune_LVL2";"415099"
"CAna_036.Tune_LVL3";"415098"
"CAna_036.Tune_LVL4";"415097"
"CAna_036.Tune_MANUAL";"415092"
"CAna_036.Tune_MAXDEV";"415104"
"CAna_036.Tune_TCRHL";"415094"
"CAna_036.Tune_TCRLL";"415095"
"CAna_036.Tune_UTRL";"415102"
"CAna_036.Tune_ZERO";"415093"
"CAna_057.PV";"407047"
"CAna_057.Status";"406047"
"CAna_057.Tune_CtrlWd";"415385"
"CAna_057.Tune_DTRL";"415397"
"CAna_057.Tune_FLTR";"415390"
"CAna_057.Tune_HYS";"415395"
"CAna_057.Tune_LVL1";"415394"
"CAna_057.Tune_LVL2";"415393"
"CAna_057.Tune_LVL3";"415392"
"CAna_057.Tune_LVL4";"415391"
"CAna_057.Tune_MANUAL";"415386"
"CAna_057.Tune_MAXDEV";"415398"
"CAna_057.Tune_TCRHL";"415388"
"CAna_057.Tune_TCRLL";"415389"
"CAna_057.Tune_UTRL";"415396"
"CAna_057.Tune_ZERO";"415387"
"CAna_058.PV";"407068"
"CAna_058.Status";"406068"
"CAna_058.Tune_CtrlWd";"415399"
"CAna_058.Tune_DTRL";"415411"
"CAna_058.Tune_FLTR";"415404"
"CAna_058.Tune_HYS";"415409"
"CAna_058.Tune_LVL1";"415408"
"CAna_058.Tune_LVL2";"415407"
"CAna_058.Tune_LVL3";"415406"
"CAna_058.Tune_LVL4";"415405"
"CAna_058.Tune_MANUAL";"415400"
"CAna_058.Tune_MAXDEV";"415412"
"CAna_058.Tune_TCRHL";"415402"
"CAna_058.Tune_TCRLL";"415403"
"CAna_058.Tune_UTRL";"415410"
"CAna_058.Tune_ZERO";"415401"
"CAna_059.PV";"407069"
"CAna_059.Status";"406069"
"CAna_059.Tune_CtrlWd";"415413"
"CAna_059.Tune_DTRL";"415425"
"CAna_059.Tune_FLTR";"415418"
"CAna_059.Tune_HYS";"415423"
"CAna_059.Tune_LVL1";"415422"
"CAna_059.Tune_LVL2";"415421"
"CAna_059.Tune_LVL3";"415420"
"CAna_059.Tune_LVL4";"415419"
"CAna_059.Tune_MANUAL";"415414"
"CAna_059.Tune_MAXDEV";"415426"
"CAna_059.Tune_TCRHL";"415416"
"CAna_059.Tune_TCRLL";"415417"
"CAna_059.Tune_UTRL";"415424"
"CAna_059.Tune_ZERO";"415415"
"CAna_060.PV";"407070"
"CAna_060.Status";"406070"
"CAna_060.Tune_CtrlWd";"415427"
"CAna_060.Tune_DTRL";"415439"
"CAna_060.Tune_FLTR";"415432"
"CAna_060.Tune_HYS";"415437"
"CAna_060.Tune_LVL1";"415436"
"CAna_060.Tune_LVL2";"415435"
"CAna_060.Tune_LVL3";"415434"
"CAna_060.Tune_LVL4";"415433"
"CAna_060.Tune_MANUAL";"415428"
"CAna_060.Tune_MAXDEV";"415440"
"CAna_060.Tune_TCRHL";"415430"
"CAna_060.Tune_TCRLL";"415431"
"CAna_060.Tune_UTRL";"415438"
"CAna_060.Tune_ZERO";"415429"
"CAna_061.PV";"407071"
"CAna_061.Status";"406071"
"CAna_061.Tune_CtrlWd";"415441"
"CAna_061.Tune_DTRL";"415453"
"CAna_061.Tune_FLTR";"415446"
"CAna_061.Tune_HYS";"415451"
